symbol,signal_time,entry_price,limit_entry,confidence,rsi,macd_hist,vol_spike_ratio,signal_count,rsi_cross,macd_cross,ema_cross,vol_spike,stop_loss,trailing_activate,take_profit,status,peak_price,exit_price,exit_time,exit_reason,pnl_pct,atr,trailing_distance,block_reason,sent_btc_4h_rsi,sent_basis,sent_ls_ratio,sent_oi_delta,sent_breadth,sent_score,sent_threshold
STOUSDT,2026-04-01 06:30:00 UTC,0.2552,0.2461,0.8964,80.8,0.004919,5.22,1,False,False,False,True,0.253414,0.256731,0.260304,closed,0.2594,0.2583624,2026-04-01 07:23:26 UTC,trailing_stop,1.239,,,,,,,,,,
ZBTUSDT,2026-04-01 06:30:00 UTC,0.0933,0.09295,0.9627,37.6,-0.000315,2.48,1,False,False,False,True,0.092647,0.09386,0.095166,closed,0.0942,0.0938232,2026-04-01 07:38:22 UTC,trailing_stop,0.561,,,,,,,,,,
BNBUSDT,2026-04-01 06:45:00 UTC,619.22,618.635,0.6694,56.8,0.407218,3.0,1,False,False,False,True,614.88546,622.93532,631.6044,closed,619.22,614.88546,2026-04-01 09:08:17 UTC,stop_loss,-0.7,,,,,,,,,,
RAYUSDT,2026-04-01 07:30:00 UTC,0.666,0.66,0.7381,64.9,0.00094,3.36,2,False,True,False,True,0.661338,0.669996,0.67932,closed,0.674,0.671304,2026-04-01 07:47:16 UTC,trailing_stop,0.796,,,,,,,,,,
BLURUSDT,2026-04-01 07:30:00 UTC,0.02276,0.022435,0.9066,66.5,0.000131,2.73,1,False,False,False,True,0.022601,0.022897,0.023215,closed,0.02276,0.02260068,2026-04-01 07:46:37 UTC,stop_loss,-0.7,,,,,,,,,,
RAYUSDT,2026-04-01 08:45:00 UTC,0.711,0.693,0.8606,78.6,0.004402,11.02,1,False,False,False,True,0.706023,0.715266,0.72522,closed,0.711,0.706023,2026-04-01 09:01:33 UTC,stop_loss,-0.7,,,,,,,,,,
KATUSDT,2026-04-01 11:30:00 UTC,0.01032,0.01027,0.7522,54.6,1.9e-05,0.79,1,True,False,False,False,0.010248,0.010382,0.010526,closed,0.01039,0.01034844,2026-04-01 11:52:27 UTC,trailing_stop,0.276,,,,,,,,,,
STOUSDT,2026-04-01 11:45:00 UTC,0.3101,0.2903,0.896,79.4,0.005528,4.06,1,False,False,False,True,0.307929,0.311961,0.316302,closed,0.3133,0.3120468,2026-04-01 12:00:25 UTC,trailing_stop,0.628,,,,,,,,,,
NOMUSDT,2026-04-01 11:45:00 UTC,0.00648,0.006315,0.8227,72.3,1.3e-05,1.06,1,False,True,False,False,0.006435,0.006519,0.00661,closed,0.00661,0.0066096,2026-04-01 12:01:23 UTC,take_profit,2.0,,,,,,,,,,
ALGOUSDT,2026-04-01 11:45:00 UTC,0.1066,0.10575,0.6631,70.2,8.1e-05,0.66,1,False,True,False,False,0.105854,0.10724,0.108732,closed,0.1074,0.1069704,2026-04-01 12:03:10 UTC,trailing_stop,0.347,,,,,,,,,,
ZBTUSDT,2026-04-01 11:45:00 UTC,0.0952,0.09345,0.8203,50.7,-0.000128,1.59,1,True,False,False,False,0.094534,0.095771,0.097104,closed,0.0971,0.0967116,2026-04-01 12:02:09 UTC,trailing_stop,1.588,,,,,,,,,,
ONTUSDT,2026-04-01 12:00:00 UTC,0.1082,0.10713,0.8748,74.5,0.000189,2.78,1,False,False,False,True,0.107443,0.108849,0.110364,closed,0.10823,0.1074426,2026-04-01 12:15:32 UTC,stop_loss,-0.7,,,,,,,,,,
KATUSDT,2026-04-01 12:00:00 UTC,0.01029,0.010265,0.7396,52.2,2.6e-05,2.23,1,False,False,False,True,0.010218,0.010352,0.010496,closed,0.0103,0.01021797,2026-04-01 12:22:55 UTC,stop_loss,-0.7,,,,,,,,,,
STOUSDT,2026-04-01 12:15:00 UTC,0.3369,0.3271,0.8346,83.0,0.008759,2.1,1,False,False,False,True,0.334542,0.338921,0.343638,closed,0.3393,0.3379428,2026-04-01 12:30:26 UTC,trailing_stop,0.31,,,,,,,,,,
BLURUSDT,2026-04-01 12:15:00 UTC,0.02513,0.02483,0.8292,76.3,0.000266,2.99,1,False,False,False,True,0.024954,0.025281,0.025633,closed,0.0252,0.02495409,2026-04-01 12:30:42 UTC,stop_loss,-0.7,,,,,,,,,,
